id,student_id,type,description,status,createdAt,updatedAt,section_id,notes,is_open
1,1,"دفتر","دفتر - created from QuickEvaluation","closed","2025-09-28 20:30:00.386 +00:00","2025-09-28 20:46:22.723 +00:00","","دفتر - created from QuickEvaluation",1
2,2,"كتاب","كتاب - created from QuickEvaluation","closed","2025-09-28 20:30:46.304 +00:00","2025-09-28 20:46:44.453 +00:00","","كتاب - created from QuickEvaluation",1
3,1,"كتاب","كتاب - created from QuickEvaluation","closed","2025-09-28 20:31:00.784 +00:00","2025-09-28 20:46:20.329 +00:00","","كتاب - created from QuickEvaluation",1
4,4,"دفتر","دفتر - created from QuickEvaluation","closed","2025-09-28 20:31:22.572 +00:00","2025-09-28 20:47:01.322 +00:00","","دفتر - created from QuickEvaluation",1
5,268,"دفتر","دفتر - created from QuickEvaluation","open","2025-09-28 20:32:44.997 +00:00","2025-09-28 20:32:44.997 +00:00","","دفتر - created from QuickEvaluation",1
6,235,"دفتر","دفتر - created from QuickEvaluation","open","2025-09-28 20:37:54.819 +00:00","2025-09-28 20:37:54.819 +00:00","","دفتر - created from QuickEvaluation",1
7,1,"دفتر","دفتر - created from QuickEvaluation","closed","2025-09-28 20:59:08.779 +00:00","2025-09-28 20:59:09.917 +00:00","","دفتر - created from QuickEvaluation",1
8,1,"دفتر","دفتر - created from QuickEvaluation","closed","2025-09-28 21:29:38.776 +00:00","2025-09-28 21:29:45.791 +00:00","","دفتر - created from QuickEvaluation",1
9,14,"دفتر","دفتر - created from QuickEvaluation","closed","2025-09-28 21:30:51.318 +00:00","2025-09-28 21:32:12.501 +00:00","","دفتر - created from QuickEvaluation",1
10,1,"دفتر","","open","2025-09-29T07:48:27.331Z","2025-09-29T07:48:27.331Z","1758447797026","",1
11,1,"دفتر","","open","2025-09-29T07:48:37.069Z","2025-09-29T07:48:37.069Z","1758447797026","",1
12,8,"كتاب","","open","2025-09-29T07:49:05.152Z","2025-09-29T07:49:05.152Z","1758447797026","",1
13,1,"دفتر","","open","2025-09-29T07:51:02.821Z","2025-09-29T07:51:02.821Z","1758447797026","",1
14,118,"دفتر","","open","2025-09-29T08:07:58.414Z","2025-09-29T08:07:58.414Z","1758447797388","دفتر - created from QuickEvaluation",1
15,94,"دفتر","","open","2025-09-29T08:08:27.459Z","2025-09-29T08:08:27.459Z","1758447797388","دفتر - created from QuickEvaluation",1
16,110,"دفتر","","open","2025-09-29T08:09:10.917Z","2025-09-29T08:09:10.917Z","1758447797388","دفتر - created from QuickEvaluation",1
17,27,"دفتر","","open","2025-09-29T09:04:10.130Z","2025-09-29T09:04:10.130Z","1758447797026","دفتر - created from QuickEvaluation",1
18,19,"دفتر","","open","2025-09-29T09:04:58.510Z","2025-09-29T09:04:58.510Z","1758447797026","دفتر - created from QuickEvaluation",1
19,24,"دفتر","","open","2025-09-29T09:06:11.715Z","2025-09-29T09:06:11.715Z","1758447797026","دفتر - created from QuickEvaluation",1
20,22,"دفتر","","open","2025-09-29T09:07:55.760Z","2025-09-29T09:07:55.760Z","1758447797026","دفتر - created from QuickEvaluation",1
21,20,"دفتر","","open","2025-09-29T09:09:29.142Z","2025-09-29T09:09:29.142Z","1758447797026","دفتر - created from QuickEvaluation",1
22,20,"دفتر","","open","2025-09-29T09:09:32.119Z","2025-09-29T09:09:32.119Z","1758447797026","دفتر - created from QuickEvaluation",1
23,3,"دفتر","","open","2025-09-29T09:10:55.962Z","2025-09-29T09:10:55.962Z","1758447797026","دفتر - created from QuickEvaluation",1
24,28,"دفتر","","open","2025-09-29T09:11:58.523Z","2025-09-29T09:11:58.523Z","1758447797026","دفتر - created from QuickEvaluation",1
25,319,"دفتر","","open","2025-09-29T09:59:14.126Z","2025-09-29T09:59:14.126Z","1758447797026","دفتر - created from QuickEvaluation",1