الأسبوع,العنوان
1,تقويم تشخيصي
2,سورة الكهف
3,التوحيد وأدله
4,فقه السيرة: الغايات والمقاصد
5,فقه العبادات: الصلاة - الزكاة - الصيام
6,حق الله: شكر الله
7,القناعة والرضا
8,تقويم ودعم
9,سورة الكهف
10,البحث والحساب
11,محمد الرسول صلى الله عليه وسلم القائد
12,فقه العبادات: الحج أركانه ومقاصده
13,حق النفس: الاستقامة
14,الدين النصيحة
15,سورة الكهف
16,أنشطة داعمة
17,تقويم ودعم
18,سورة الكهف
19,الجزاء: الجنة والنار
20,غزوتا بدر وأحد: دروس وعبر
21,فقه المعاملات: المعاملات المالية في الإسلام: أحكامها وضوابطها
22,حق الغير: العمل الصالح
23,الرفقة الصالحة
24,تقويم ودعم
25,سورة الكهف
26,علم الله المطلق
27,نماذج للتأسي: عمر بن الخطاب رضي الله عنه وعزة الإسلام
28,فقه المعاملات: مبادئ استثمار الأموال في الإسلام
29,حق البيئة: الإصلاح وعدم الإفساد
30,الوصايا التسع: (قل تعالوا أتل ما حرم ربكم عليكم...)
31,سورة الكهف
32,أنشطة داعمة
33,تقويم ودعم
34,إجراءات آخر السنة